,year,book_name,author
0,1981,현혹(소설),엘리아스 카네티
1,1982,백 년 동안의 고독(소설),가브리엘 가르시아 마르케스
2,1983,파리대왕(소설),윌리엄 골딩
3,1984,섬에서의 음악회(시),야로슬라프 사이페르트
4,1985,플랑드르 가도(소설),클로드 시몽
5,1986,해설자(소설),월레 소잉카
6,1987,연설 한 토막(시),조지프 브로드스키
7,1988,게벨라위의 아이들(소설),나기브 마푸즈
8,1989,벌집(소설),카밀로 호세 셀라
9,1990,공기의 아들들(시),옥타비오 파스
10,1991,명예로운 손님(소설),나딘 고디머
11,1992,오메로스(시),데릭 월컷
12,1993,빌러비드(소설),토니 모리슨
13,1994,개인적인 체험(소설),오에 겐자부로
14,1995,어느 자연주의자의 죽음(시),셰이머스 히니
15,1996,모래알과 함께한 전경(시),비스와바 심보르스카
16,1997,교황과 마녀(희곡),다리오 포
17,1998,눈먼 자들의 도시(소설),주제 사라마구
18,1999,양철북(소설/희곡),귄터 그라스
19,2000,영혼의 산(희곡),가오싱젠
20,2001,미겔 스트리트(소설),비디아다르 수라지프라사드 나이폴 경
21,2002,운명(소설),케르테스 임레
22,2003,추락(소설),존 맥스웰 쿳시
23,2004,피아노 치는 여자(소설),엘프리데 옐리네크
24,2005,귀향(희곡),해럴드 핀터
25,2006,내 이름은 빨강(소설),오르한 파묵
26,2007,다섯째 아이(소설),도리스 레싱
27,2008,황금 물고기(소설),장 마리 귀스타브 르 클레지오
28,2009,숨그네(소설),헤르타 뮐러
29,2010,천국은 다른 곳에(소설),마리오 바르가스 요사
30,2011,산 자와 죽은 자를 위하여(시),토마스 트란스트뢰메르
31,2012,개구리(소설),모옌
32,2013,디어 라이프(소설),앨리스 먼로
33,2014,어두운 상점들의 거리(소설),파트리크 모디아노
34,2015,체르노빌의 목소리 : 미래의 연대기(르포),스베틀라나 알렉시예비치
35,2016,Like a Rolling Stone(노래 가사),밥 딜런[31]
36,2017,남아있는 나날(소설),가즈오 이시구로
37,2018,플라이츠(소설)[34],올가 토카르추크[33]
38,2019,관객모독(희곡),페터 한트케
39,2020,아라라트(시),루이즈 글뤽
40,2021,낙원(소설),압둘라자크 구르나
41,2022,단순한 열정(소설),아니 에르노
42,2023,3부작(소설),욘 포세
